Part,Level,Description,Quantity,Datasheet,Supplier,Package,x(mm),y(mm),z(mm)
,,,,,,,,
Atoms,,,,,,,
Periodic Table,01,Periodic Table business card,1,card,VK,Loose,40,60,1
,,,,,,,,
Electrons,,,,,,,
NB3 Body,01,NB3 robot base PCB,1,NB3_body,VK,Loose,200,200,15
Resistor (330),10,330 &Omega;/0.25 W,2,_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-330r/res-330r-1-250mw-axial-metal-film/dp/9341730,Passive,50,5,3
Resistor (470),01,470 &Omega;/0.25 W,2,_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,Passive,50,5,3
Resistor (1k),01,1 k&Omega;/0.25 W,2,_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-1k/res-1k-1-250mw-axial-metal-film/dp/9341102,Passive,50,5,3
Resistor (10k),01,10 k&Omega;/0.25 W,2,_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,Passive,50,5,3
Capacitor (small),10,0.1 uF ceramic capacitor,1,_resources/datasheets/capacitor_ceramic.pdf,https://uk.farnell.com/kemet/c322c104k1r5ta/cap-0-1-f-100v-10-x7r/dp/1457685,Passive,50,5,3
Capacitor (large),10,100 uF aluminum electrolytic capacitor,1,_resources/datasheets/capacitor_electrolytic.pdf,https://uk.farnell.com/rubycon/16zlh100mefc5x11/cap-100-f-16v-20/dp/8126283,Passive,50,5,3
Button,10,Tactile switch,2,_resources/datasheets/button.pdf,https://uk.farnell.com/omron/b3f-1000/switch-spno-0-05a-24v-tht-0-98n/dp/176432,Passive,5,5,3
Potentiometer,01,2.2 k&Omega; variable resistor,2,_resources/datasheets/pot_2k2.pdf,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,Passive,5,5,3
Breadboard (400),01,400-tie solderless breadboard,1,_resources/datasheets/breadboard_400.pdf,https://www.amazon.co.uk/gp/product/B0739XRX8F,Loose,85,60,10
Breadboards (170),01,170-tie solderless breadboard,4,_resources/datasheets/breadboard_170.pdf,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7,Loose,35,50,10
Batteries (AA),01,AA 1.5 V alkaline battery,4,,,Loose,60,15,15
Battery holder,01,4xAA battery holder with ON-OFF switch,1,,https://www.amazon.co.uk/gp/product/B0814ZH68F,Loose,65,70,20
Jumper Kit,01,Kit of multi-length 22 AWG breadboard jumpers,1,_resources/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338,Loose,170,55,15
Jumper Wires,01,Assorted 22 AWG jumper wire leads (male/female),1,_resources/datasheets/jumper_wires.pdf,https://www.amazon.co.uk/240pcs-Solderless-Breadboard-Arduino-Project/dp/B08PJSTS3C,Loose,200,40,10
Test Lead,01,Alligator clip to 0.64 mm pin (20 cm),2,,https://www.amazon.co.uk/gp/product/B096JR15JW,Loose,220,20,10
Rubber feet,01,Adhesive rubber standoffs (1421T6CL),4,_resources/datasheets/rubber_feet.pdf,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,Passive,20,20,4
,,,,,,,,
Magnets,,,,,,,
Inductor,10,1 mH toroidal inductor,1,_resources/datasheets/inductor_toroidal.pdf,https://uk.farnell.com/bourns/2124-v-rc/inductor-1000uh-15-1-3a-toroid/dp/1929753,Passive,30,30,15
Magnet Wire,01,Narrow gauge epoxy insulated (1 m),1,,https://www.amazon.co.uk/Enameled-Magnet-Soldering-Winding-Enamelled/dp/B07N65LRVD,Passive,30,30,20
Magnet,01,Neodymium disc (8 mm x 3 mm),4,,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,Magnets,20,20,5
